CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Avg_Utilization_Ratio
768805383,45,M,3,High School,Married,$60K - $80K,Blue,1,12691,777,1144,0.061
818770008,49,F,5,Graduate,Single,Less than $40K,Blue,1,8256,864,1291,0.105
713982108,51,M,3,Graduate,Married,$80K - $120K,Blue,1,3418,0,1887,0
769911858,40,F,4,High School,Unknown,Less than $40K,Blue,4,3313,2517,1171,0.76
709106358,40,M,3,Uneducated,Married,$60K - $80K,Blue,1,4716,0,816,0
713061558,44,M,2,Graduate,Married,$40K - $60K,Blue,1,4010,1247,1088,0.311
810347208,51,M,4,Unknown,Married,$120K +,Gold,1,34516,2264,1330,0.066
818906208,32,M,0,High School,Unknown,$60K - $80K,Silver,2,29081,1396,1538,0.048
710930508,37,M,3,Uneducated,Single,$60K - $80K,Blue,2,22352,2517,1350,0.113
719661558,48,M,2,Graduate,Single,$80K - $120K,Blue,3,11656,1677,1441,0.144
708790833,42,M,5,Uneducated,Unknown,$120K +,Blue,3,6748,1467,1201,0.217
710821833,65,M,1,Unknown,Married,$40K - $60K,Blue,2,9095,1587,1314,0.174
710599683,56,M,1,College,Single,$80K - $120K,Blue,6,11751,0,1539,0
816082233,35,M,3,Graduate,Unknown,$60K - $80K,Blue,1,8547,1666,1311,0.195
712396908,57,F,2,Graduate,Married,Less than $40K,Blue,2,2436,680,1570,0.279
714885258,44,M,4,Unknown,Unknown,$80K - $120K,Blue,1,4234,972,1348,0.23
709967358,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,2,30367,2362,1671,0.078
753327333,41,M,3,Unknown,Married,$80K - $120K,Blue,4,13535,1291,1028,0.095
806160108,61,M,1,High School,Married,$40K - $60K,Blue,2,3193,2517,1336,0.788
709327383,45,F,2,Graduate,Married,Unknown,Blue,1,14470,1157,1207,0.08
806165208,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,2,20979,1800,1178,0.086
708508758,62,F,0,Graduate,Married,Less than $40K,Blue,3,1438.3,0,692,0
784725333,41,M,3,High School,Married,$40K - $60K,Blue,2,4470,680,931,0.152
811604133,47,F,4,Unknown,Single,Less than $40K,Blue,3,2492,1560,1126,0.626
789124683,54,M,2,Unknown,Married,$80K - $120K,Blue,2,12217,0,1110,0
771071958,41,F,3,Graduate,Single,Less than $40K,Blue,1,7768,1669,1051,0.215
720466383,59,M,1,High School,Unknown,$40K - $60K,Blue,1,14784,1374,1197,0.093
804424383,63,M,1,Unknown,Married,$60K - $80K,Blue,3,10215,1010,1904,0.099
718813833,44,F,3,Uneducated,Single,Unknown,Blue,2,10100,0,1052,0
806624208,47,M,4,High School,Married,$40K - $60K,Blue,0,4785,1362,1045,0.285
778348233,53,M,3,Unknown,Married,$80K - $120K,Blue,2,2753,1811,1038,0.658
712991808,53,M,2,Uneducated,Married,$60K - $80K,Blue,5,2451,1690,1596,0.69
709029408,41,M,4,Graduate,Married,$60K - $80K,Blue,1,8923,2517,1589,0.282
788658483,53,F,2,College,Married,Less than $40K,Blue,2,2650,1490,1411,0.562
787937058,58,M,0,Graduate,Married,$80K - $120K,Blue,2,12555,1696,1291,0.135
715318008,55,F,1,College,Single,Less than $40K,Blue,2,3520,1914,1407,0.544
713962233,55,F,3,Graduate,Married,Less than $40K,Blue,2,3035,2298,1877,0.757
785432733,42,F,4,High School,Married,Less than $40K,Gold,3,15433,0,966,0
715190283,57,F,1,Graduate,Unknown,$40K - $60K,Blue,3,3672,886,1464,0.241
708300483,66,F,0,Doctorate,Married,Unknown,Blue,4,7882,605,704,0.077
827111283,45,M,3,Graduate,Single,$80K - $120K,Blue,2,32426,578,1109,0.018
758551608,51,M,2,Unknown,Married,$40K - $60K,Blue,1,6205,2204,1347,0.355
773146383,50,F,1,College,Single,$40K - $60K,Silver,2,17304,2517,1756,0.145
778493808,49,M,3,High School,Married,$60K - $80K,Blue,2,3906,0,1756,0
720572508,38,F,4,Graduate,Single,Unknown,Blue,3,9830,2055,1042,0.209
712661433,49,M,4,Uneducated,Single,$80K - $120K,Blue,2,34516,0,1444,0
789172683,56,M,2,Doctorate,Married,$60K - $80K,Blue,2,2283,1430,1741,0.626
738406533,59,M,1,Doctorate,Married,$40K - $60K,Blue,2,2548,2020,1719,0.793
799723908,46,M,3,High School,Married,$80K - $120K,Blue,3,19458,1435,1217,0.074
771490833,52,M,1,College,Single,$80K - $120K,Blue,1,4745,1227,1140,0.259
720756708,52,F,3,Unknown,Married,Less than $40K,Blue,3,2622,1549,1878,0.591
779471883,54,F,1,Graduate,Married,Less than $40K,Blue,3,1438.3,808,705,0.562
711525033,66,F,0,High School,Married,Less than $40K,Blue,4,3171,2179,1946,0.687
712813458,49,M,2,Unknown,Married,$120K +,Blue,2,19763,2517,1414,0.127
714374133,56,M,2,Graduate,Married,$120K +,Blue,3,15769,0,602,0
717891558,49,F,4,Graduate,Unknown,Less than $40K,Blue,4,3298,2200,1052,0.667
716632758,49,F,3,Graduate,Single,Less than $40K,Blue,2,2802,2363,1295,0.843
768563658,56,M,2,Uneducated,Married,$40K - $60K,Blue,2,4458,1880,1424,0.422
711427458,44,F,5,Graduate,Married,Unknown,Blue,1,6273,978,1359,0.156
714091983,42,M,2,High School,Single,$60K - $80K,Blue,4,3336,1753,1168,0.525
787584108,55,M,3,Unknown,Married,$80K - $120K,Blue,2,3436,2016,1097,0.587
712030833,48,M,2,Graduate,Married,$60K - $80K,Silver,4,34516,0,691,0
711481533,39,M,1,High School,Divorced,$60K - $80K,Blue,3,5926,1251,1316,0.211
710082708,44,M,4,Post-Graduate,Single,$120K +,Blue,4,23957,2102,1276,0.088
708155733,53,M,2,High School,Single,$120K +,Blue,2,14734,1634,1289,0.111
788979258,51,M,4,Uneducated,Single,$80K - $120K,Silver,1,34516,1515,1293,0.044
807986133,57,M,2,College,Married,$60K - $80K,Blue,3,6584,1817,1353,0.276
788730933,44,F,2,Uneducated,Single,Less than $40K,Blue,3,2084,1468,1132,0.704
711314058,49,M,2,Graduate,Married,$60K - $80K,Blue,2,1687,1107,1670,0.656
717975333,50,M,2,Doctorate,Married,$80K - $120K,Blue,2,25300,1330,837,0.053
715971108,51,M,4,Graduate,Single,$120K +,Blue,2,34516,1763,1550,0.051
720096558,55,F,2,Graduate,Married,Less than $40K,Blue,3,2216,1034,1540,0.467
719580033,54,M,1,Graduate,Unknown,$60K - $80K,Blue,2,2910,2030,1256,0.698
820582308,42,M,5,Uneducated,Married,$80K - $120K,Blue,2,22913,1528,1394,0.067
789973308,44,M,1,College,Single,$60K - $80K,Blue,3,24312,1932,1341,0.079
